"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"28433"	"CD177"	-4.81364578947369	4.29999859523809	-6.96928880020448	6.66555584677946e-10	7.47234447177234e-07	12.3133156671821
"7410"	"OR6C4"	-4.70792968421053	5.15761013095238	-11.8050525506228	1.5656066631786e-19	2.28163687058334e-15	33.1426715083991
"19407"	"JCHAIN"	-4.15301042105263	6.05541655952381	-7.82903538383062	1.326951484429e-11	3.51605953787745e-08	16.0173961426967
"24411"	"SLC26A3"	-3.98118884210526	5.52056801190476	-7.9622470548599	7.18764604979494e-12	2.32775910459304e-08	16.5968786853458
"10170"	"SNORD71"	-3.64821431578947	6.92457105952381	-4.78082864136256	7.34851120989534e-06	0.000308765221057268	3.5371244259213
"9585"	"MT1M"	-3.63867236842105	4.42853295238095	-6.53987351510315	4.53972444209877e-09	2.80169202341141e-06	10.4989030838594
"27926"	"SNORD55"	-3.63545784210526	8.40590076190476	-4.11713081065833	8.925631371542e-05	0.00134501891274202	1.21068504017568
"25460"	"SNORA72"	-3.62977510526316	8.80483714285714	-3.76076023592436	0.000312222922843665	0.00308696117100553	0.0547825996055327
"2415"	"PIGR"	-3.49624010526316	6.01863641666667	-7.06703589336181	4.28930591358855e-10	6.25101997316828e-07	12.7302991850378
"10100"	"SNORA50A"	-3.40851494736842	5.87589785714286	-4.38554358196387	3.33140426014257e-05	0.00073728504153664	2.1260704579728
"564"	"CLCA4"	-3.35635521052632	3.69229014285714	-7.49034075811448	6.26718649518583e-11	1.40515142134755e-07	14.5495352306348
"5200"	"LOC105369504"	-3.34709805263158	3.88677925	-7.31750314719938	1.37802729363015e-10	2.36266832514341e-07	13.8043371846392
"29138"	"NEAT1"	-3.29880636842105	6.75723370238095	-4.77559945510098	7.50019680026724e-06	0.000312296354454621	3.5180029161925
"3554"	"SNORA12"	-3.28773973684211	6.4766326547619	-4.29458485329796	4.67041557227467e-05	0.000912449278067766	1.81178705279376
"8396"	"SNHG14"	-3.27665742105263	4.56867560714286	-5.31615045809709	8.58225690567038e-07	8.80978932182334e-05	5.55234908125633
"21823"	"H2BC12"	-3.26246342105263	5.40480017857143	-16.3380862758576	8.08336349278221e-28	2.35605795724123e-23	50.5278633864969
"14505"	"SCARNA5"	-3.23462126315789	9.13653397619048	-3.96218105633618	0.000155114822459547	0.00194373677137937	0.699413807187312
"3814"	"SNORA23"	-3.22268273684211	8.73963065476191	-3.41939158567998	0.0009704046473025	0.00672317191702543	-0.982719157833881
"22463"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"22598"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"22746"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"22887"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"23012"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"23152"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"23281"	"SNORD117"	-3.21483305263158	8.97712160714286	-3.84492116912259	0.000233708001177989	0.00253985350870054	0.321314777167139
"16628"	"IGLC1"	-3.21279378947368	5.14248203571429	-5.23518022050872	1.19557550514723e-06	0.000109368379136305	5.24061497802301
"15652"	"MYL9"	-3.15252484210526	7.14942969047619	-5.65352945853981	2.10709007189782e-07	3.59154118863191e-05	6.87485047862532
"28202"	"MALAT1"	-3.14802126315789	8.7898828452381	-4.60429913293317	1.45547784052028e-05	0.000449812814745801	2.89818365841561
"8500"	"PHGR1"	-3.144196	6.52799070238095	-7.38979831514762	9.91518108567960e-11	1.8062361444019e-07	14.1156763462298
"13314"	"CEACAM7"	-3.13117463157895	4.35835342857143	-8.02536388358826	5.37338862414141e-12	1.95772697784812e-08	16.8717771390216
"9938"	"MYH11"	-3.08557557894737	6.3633388452381	-7.89199158835882	9.93305181656715e-12	2.89518661297483e-08	16.2911338695186
"17396"	"SNORD69"	-3.07896247368421	7.97211896428571	-4.42803155068626	2.84128354321998e-05	0.000675488510882811	2.27426326687644
"21881"	"SNORD117"	-3.03538026315789	8.74637402380952	-3.74927122827914	0.000324717880300119	0.00316964235000253	0.0187177365734774
"12200"	"SNORD105B"	-3.01629584210526	8.77347639285714	-3.68726451698402	0.000400802742575006	0.00366223381222065	-0.174579445947777
"28201"	"MALAT1"	-2.98684584210527	8.33281627380952	-4.9198429040442	4.25160365419134e-06	0.000229060058611303	4.04965407651606
"12314"	"SNORA68"	-2.97000436842105	7.74800401190476	-3.07481692486612	0.00284088855741735	0.0139352707477354	-1.95419542749728
"24720"	"ADAMDEC1"	-2.94574315789474	4.29339659523809	-8.36450093345045	1.12159063674797e-12	5.44850038154886e-09	18.3515934460146
"27957"	"SNORD14C"	-2.92169226315789	7.48028423809524	-3.64914605265966	0.00045569031568155	0.00399699236568466	-0.292269257045216
"12526"	"CEACAM5"	-2.91179863157895	6.8899176547619	-4.84358338121529	5.74559856046531e-06	0.000270108002003036	3.76750034379915
"28779"	"RPL10"	-2.90876842105264	9.05203411904762	-3.6796710343086	0.000411209047204671	0.00372261025907248	-0.198093747977178
"2293"	"SCARNA3"	-2.89628726315789	5.3489883452381	-4.900564332016	4.58890478157873e-06	0.000236016530715217	3.97810023710435
"20167"	"VTRNA1-2"	-2.88627642105263	8.22806988095238	-3.48229400609471	0.000791416846634525	0.00585765028665732	-0.796969400182361
"10454"	"SNORD42A"	-2.8605677368421	8.20641208333333	-4.14248804815707	8.1443638456194e-05	0.00127147173544868	1.29557939823648
"10758"	"SNORA38B"	-2.8468772631579	9.33529342857143	-3.48505603858016	0.000784321127021491	0.00582287516283632	-0.788755652794124
"19398"	"UGT2B17"	-2.82819763157895	3.60674333333333	-4.6690014777742	1.1347048950312e-05	0.000385942622728408	3.13077853438414
"9591"	"MT1H"	-2.79624152631579	3.8236538452381	-5.88366580118394	7.92772151669143e-08	1.92557749205838e-05	7.79685448489982
"28502"	"UBB"	-2.77116957894737	7.26880360714286	-4.36894570741004	3.54427635421092e-05	0.000764696921478231	2.06841711438327
"11775"	"SCARNA17"	-2.75557715789474	5.1970574047619	-6.20868789309559	1.94656996928637e-08	7.46535195984078e-06	9.1229165551072
"24235"	"SBDS"	-2.73918042105263	4.1851298452381	-5.37013284764984	6.87191354481533e-07	7.75176789670552e-05	5.76144689743167
"19101"	"MAB21L2"	-2.71692894736842	4.94252811904762	-7.43779680250427	7.96614811097579e-11	1.54792879327074e-07	14.3226765170262
"14927"	"IGKC"	-2.65735115789474	5.20013692857143	-4.82980189690306	6.06544701938143e-06	0.00027946795296601	3.71676613445409
"16622"	"IGKV@"	-2.65145868421052	5.95281483333333	-4.57447749535578	1.63145606321948e-05	0.000479839050198366	2.79161482859891
"27953"	"SNORD30"	-2.64304010526316	6.24097389285714	-4.51631248825992	2.03596226189994e-05	0.000546932645599977	2.58493346036557
"23599"	"SNORA14A"	-2.64266757894737	4.36934545238095	-4.11880427801761	8.87192430212344e-05	0.00134041860914864	1.216277237884
"3725"	"MUC2"	-2.64100868421053	5.89213096428571	-6.76238793612889	1.68650032988963e-09	1.3813827809057e-06	11.4352981256944
"28418"	"RPL10"	-2.64096826315789	5.63938973809524	-4.20840861451052	6.40898541853723e-05	0.00110364088679255	1.51785086825559
"28203"	"MALAT1"	-2.63833794736842	7.2625061547619	-4.42882829842578	2.83279473096159e-05	0.000674876053661945	2.27705054036193
"563"	"CLCA1"	-2.63540936842105	3.76850095238095	-6.4406935571717	7.03729201231047e-09	3.72938091423297e-06	10.0844712996185
"21166"	"SNORD32B"	-2.62986884210526	7.98275997619048	-3.50491667118504	0.000735040954838775	0.00557487346101633	-0.729552538501156
"14912"	"FABP1"	-2.62279405263158	4.78082160714286	-6.83332277297712	1.22773419458222e-09	1.1182740177965e-06	11.7355770362557
"4139"	"NEAT1"	-2.61894578947368	5.54883380952381	-4.13720671752271	8.30145651147079e-05	0.00128771981341053	1.27786991980491
"10085"	"MT1G"	-2.60511436842105	3.96440932142857	-6.15048014539907	2.50791883498361e-08	9.13728878540841e-06	8.8835399840086
"4141"	"MALAT1"	-2.59990157894737	5.52283907142857	-4.75647700469679	8.08126995186761e-06	0.000320469082023245	3.44817746304317
"28668"	"MAT2A"	-2.59459426315789	5.95571291666667	-4.69508369660158	1.02583657100971e-05	0.000366422285970833	3.2250663853128
"27906"	"RPL41"	-2.59380257894737	10.2444716785714	-3.57188027855267	0.000589594569147986	0.00476961224173087	-0.528122243486961
"27790"	"CD24"	-2.56078589473684	5.43583269047619	-4.25826591738946	5.33908247361306e-05	0.000980109286626012	1.68744825077948
"2143"	"SCARNA4"	-2.55745557894737	9.94819025	-4.00143290833544	0.000135008101887942	0.00177495766609285	0.827694359915942
"20151"	"SNORA74A"	-2.53439478947368	6.65405022619048	-3.21765773095689	0.00183632022203147	0.0104151051783521	-1.5611283217926
"24759"	"SNORD13"	-2.53272863157895	9.73029479761905	-3.4424939579987	0.00090063758485609	0.0063793155980074	-0.914790866786947
"27841"	"NPIPB3"	-2.50859621052632	5.98096025	-4.75543071282613	8.1142967301181e-06	0.000320905572310383	3.44436145629255
"19154"	"MIR548T"	2.48965668421053	2.75825739285714	5.59955589962577	2.64418015720218e-07	4.12530894881835e-05	6.66085037047334
"7940"	"SNORD8"	-2.462685	8.78850071428571	-3.73657945681756	0.000339074277944705	0.00326710677000143	-0.0210324160138784
"11541"	"SUMO2"	-2.45448652631579	4.11575454761905	-4.36827100922319	3.55320189377743e-05	0.00076601461241073	2.06607637123908
"5270"	"VSIG2"	-2.45069742105263	4.9296875	-8.46916664000147	6.9091435650965e-13	5.44850038154886e-09	18.8089433937989
"1990"	"HMGCS2"	-2.43427552631579	4.36388503571429	-6.07379637001364	3.49748574772955e-08	1.17173812746061e-05	8.56940206107697
"28499"	"RHOQ"	-2.42346857894737	4.03144533333333	-4.81329105962911	6.4715171334396e-06	0.000288859586352778	3.65608884107898
"26735"	"ATP13A5"	-2.42201931578948	10.2651124761905	-3.9248291929218	0.000176890022987412	0.00211650800493189	0.578135239052017
"15663"	"SNORA60"	-2.39684115789474	6.30343076190476	-3.79398872936058	0.000278612263644537	0.00286536176591734	0.159524159964697
"20459"	"MIR4279"	2.391207	4.63625705952381	4.21223231451958	6.32010638002254e-05	0.00109324712556983	1.53081272629099
"28457"	"RHOQ"	-2.37978373684211	4.00391066666667	-4.95488153785272	3.69939288578674e-06	0.000213094468311677	4.18008665370099
"23122"	"PHF1"	-2.370377	6.34325291666667	-8.39521238733483	9.7299654099056e-13	5.44850038154886e-09	18.4857695437544
"2737"	"MAP3K8"	-2.35852689473684	5.58597179761905	-3.35881469754729	0.00117830597708116	0.00770542606579163	-1.15920461974479
"18652"	"SCARNA22"	-2.35691905263158	6.96099447619048	-3.3105332878642	0.0013732905095921	0.00854939192623468	-1.29816008956152
"28286"	"RPL26"	-2.33362352631579	6.59100713095238	-4.33423663647378	4.03273809245719e-05	0.00083127452037376	1.94829040851102
"5369"	"SCARNA10"	-2.3207782631579	7.04589830952381	-4.22636876512298	6.00171282457119e-05	0.00105317232810221	1.57879870079115
"29139"	"ATP13A5"	-2.30674826315789	9.55093882142857	-4.0858158532342	9.9901989568231e-05	0.00146544705080283	1.10631457883896
"22418"	"SNORD32B"	-2.29924042105263	7.65492067857143	-3.45161311190592	0.000874423592374901	0.0062544354471046	-0.887883917370565
"22497"	"SNORD32B"	-2.29924042105263	7.65492067857143	-3.45161311190592	0.000874423592374901	0.0062544354471046	-0.887883917370565
"22655"	"SNORD32B"	-2.29924042105263	7.65492067857143	-3.45161311190592	0.000874423592374901	0.0062544354471046	-0.887883917370565
"22798"	"SNORD32B"	-2.29924042105263	7.65492067857143	-3.45161311190592	0.000874423592374901	0.0062544354471046	-0.887883917370565
"22928"	"SNORD32B"	-2.29924042105263	7.65492067857143	-3.45161311190592	0.000874423592374901	0.0062544354471046	-0.887883917370565
"23069"	"SNORD32B"	-2.29924042105263	7.65492067857143	-3.45161311190592	0.000874423592374901	0.0062544354471046	-0.887883917370565
"28051"	"SNORD48"	-2.29797647368421	8.88721134523809	-3.1430294770777	0.00231022968123787	0.0121261056220134	-1.76823093642173
"28053"	"SNORD48"	-2.29797647368421	8.88721134523809	-3.1430294770777	0.00231022968123787	0.0121261056220134	-1.76823093642173
"28055"	"SNORD48"	-2.29797647368421	8.88721134523809	-3.1430294770777	0.00231022968123787	0.0121261056220134	-1.76823093642173
"22546"	"SNHG32"	-2.29334805263158	4.25896207142857	-3.94860930460351	0.000162711848356588	0.00200956027290232	0.655257543429378
"21812"	"H4C4"	-2.28815457894737	5.87999045238095	-3.21716148368151	0.00183914691506592	0.0104270793879452	-1.56251791974817
"28501"	"UBB"	-2.27000768421053	5.55236754761905	-4.28447177603161	4.84801814030343e-05	0.000930255469642092	1.77709795105498
"13958"	"TMSB10"	-2.262156	8.02455866666667	-2.96839374584762	0.00389911962272093	0.0174466747994238	-2.2378526615238
"20166"	"VTRNA1-1"	-2.25551905263158	7.51646861904762	-2.91323021776054	0.00458126325803788	0.0195031029084877	-2.38172388291794
"9590"	"MT1F"	-2.25366357894737	4.50534283333333	-4.86773425962323	5.22427021386255e-06	0.000253683317097014	3.85659800178801
"4054"	"MS4A12"	-2.25210336842105	3.71726733333333	-6.27233840369915	1.47418432507762e-08	6.27829337756978e-06	9.38555982787182
"13267"	"LGALS4"	-2.24268563157895	6.62669630952381	-6.72366596738308	2.00492574586745e-09	1.57939380310267e-06	11.2717279951378
"14100"	"CBWD2"	-2.23262210526316	4.17391232142857	-4.05155726480248	0.000112943810700753	0.0015910938861744	0.992733525456781
"13327"	"CEACAM1"	-2.23251105263158	5.65395680952381	-5.8661074614646	8.54599609380244e-08	1.97690593766714e-05	7.72598758212713
"5992"	"SNORA49"	-2.23051089473684	7.12256311904762	-3.23647140050733	0.00173210414554769	0.0100488932186064	-1.50832397924582
"16374"	"KMT2C"	-2.2151182631579	5.07107941666667	-3.94844400743848	0.000162806536776589	0.00200968426572267	0.654720372903478
"7550"	"LGALS3"	-2.21354552631579	3.77885067857143	-5.05440896074992	2.48534780241349e-06	0.000166913438702641	4.55323277798293
"28901"	"EEF1A1"	-2.20771515789474	9.54227379761905	-3.85889884083448	0.0002226487529103	0.00246750692056141	0.365976663501689
"2211"	"ITLN1"	-2.20090952631579	4.35111523809524	-6.01285660772982	4.55091829396854e-08	1.37358794247266e-05	8.32078362876304
"7420"	"YME1L1"	-2.19923705263158	4.31855398809524	-3.67749260931131	0.000414241510476614	0.00374036471680975	-0.204833174618859
"28049"	"SNORA20"	-2.17812668421053	4.80701528571429	-4.43871440563772	2.72948484649634e-05	0.00066357686049431	2.31166056180888
"12527"	"CEACAM6"	-2.167846	5.6782178452381	-3.37860104058239	0.00110618210139065	0.0073763188536338	-1.10181970135964
"28335"	"RHPN2"	-2.15910131578947	4.6838309047619	-4.79406190484032	6.97786251385434e-06	0.000299093762781342	3.5855662824256
"26653"	"ABO"	-2.15454168421053	3.17040211904762	-5.93425720997727	6.38229760143911e-08	1.69113480171951e-05	8.00150684558506
"9084"	"RPL4"	-2.12100352631579	5.89988575	-4.56881620367125	1.66711891869812e-05	0.000486401552785728	2.77142976758156
"2256"	"DPT"	-2.09761863157895	3.91049904761905	-6.62795637350005	3.0708824629389e-09	2.237675278682e-06	10.8685270769242
"2436"	"RPL21P28"	-2.09437731578947	3.95115005952381	-4.17204304703061	7.31668382940057e-05	0.00118345939831042	1.39495362777976
"766"	"H2AC20"	-2.08636831578947	6.29161320238095	-3.0996892538309	0.00263548008752857	0.0132396308361247	-1.88675936740695
"8394"	"SNHG14"	-2.08061936842105	3.23516923809524	-5.22939481439813	1.2241273336674e-06	0.000111372748129538	5.2184302004233
"10597"	"RPL27"	-2.07878347368421	5.52268692857143	-3.58341145920374	0.000567479410098837	0.00463834054014324	-0.493155365465154
"19806"	"SNORD123"	-2.05680789473684	7.03197510714286	-3.24537803234756	0.00168472167328898	0.00984849230071278	-1.48324295442462
"11235"	"KRT20"	-2.05651342105263	3.59683420238095	-6.55550813512424	4.23586983092868e-09	2.80169202341141e-06	10.5644061524519
"12638"	"FTL"	-2.05055763157895	7.39379285714286	-3.375215315702	0.00111822142244486	0.0074361852156058	-1.11165708962045
"2142"	"SNORA80E"	-2.04929821052632	8.05903035714286	-3.37462023860089	0.00112035016066858	0.00744694324583973	-1.11338534764806
"18895"	"PARM1"	-2.046682	5.45659177380952	-5.79962595202406	1.13480801363324e-07	2.32931332206818e-05	7.45842655690659
"16620"	"IGLL5"	-2.03687763157895	7.66257865476191	-3.93764093415466	0.000169110665769326	0.00205292318832925	0.619646334303484
"28044"	"SNORD95"	-2.02315963157895	6.20627213095238	-3.60711968047147	0.000524456229563875	0.00439641234486577	-0.4210065452214
"18479"	"SCARNA7"	-2.01811294736842	5.56802436904762	-3.80572125546615	0.000267591486327896	0.00279220525235088	0.196660535191856
"26287"	"RMRP"	-2.00330642105263	10.2647120238095	-2.74203029519421	0.00745939287937553	0.0274641100100493	-2.81416184970387
