"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"24411"	"SLC26A3"	-4.75677447826087	5.52056801190476	-10.4670078506977	6.73378226075485e-17	5.38435077628509e-13	27.7561765301991
"28433"	"CD177"	-4.64512826086957	4.29999859523809	-7.39944522520052	9.48867242444796e-11	4.73009236368569e-08	14.2203512054867
"19407"	"JCHAIN"	-4.52038404347826	6.05541655952381	-9.37578599266169	1.03324015407782e-14	1.93380692017853e-11	22.9549551004101
"7410"	"OR6C4"	-4.143483	5.15761013095238	-11.4311687457406	8.39095177593765e-19	1.22285535706627e-14	31.9227841537735
"27926"	"SNORD55"	-4.13396082608696	8.40590076190476	-5.15097008150509	1.68368483857702e-06	7.58490911746593e-05	4.87584435597958
"12314"	"SNORA68"	-4.07091356521739	7.74800401190476	-4.63704353992637	1.28346689898211e-05	0.000297607078000251	2.9534881196555
"25460"	"SNORA72"	-3.94024682608696	8.80483714285714	-4.49165585659434	2.23537433325293e-05	0.000425567966631765	2.43056709383847
"3814"	"SNORA23"	-3.90171578260869	8.73963065476191	-4.55484952292485	1.75836481785346e-05	0.000366814837616182	2.65664600377441
"2415"	"PIGR"	-3.89179517391304	6.01863641666667	-8.65512091555906	2.91927648312325e-13	3.27262121744589e-10	19.7596296629975
"16622"	"IGKV@"	-3.88736282608696	5.95281483333333	-7.37902235400554	1.04141880181985e-10	4.95854686665342e-08	14.1311994414423
"564"	"CLCA4"	-3.88383673913044	3.69229014285714	-9.53634033196724	4.91232281351363e-15	1.10138056188832e-11	23.6652528227263
"15652"	"MYL9"	-3.85492956521739	7.14942969047619	-7.60614686416344	3.69017036501446e-11	2.13861350151836e-08	15.1250509768757
"14927"	"IGKC"	-3.84094417391304	5.20013692857143	-7.68078275909449	2.62124869295405e-11	1.62556458837302e-08	15.4526930457235
"20167"	"VTRNA1-2"	-3.78534608695652	8.22806988095238	-5.02481669939954	2.79845588297089e-06	0.000108939420652915	4.39395448472811
"8500"	"PHGR1"	-3.75616952173913	6.52799070238095	-9.71304222520953	2.16907128048852e-15	5.7474473283999e-12	24.4457747066164
"10170"	"SNORD71"	-3.7303502173913	6.92457105952381	-5.37848000751744	6.63918639729638e-07	3.83192803805936e-05	5.75989720357333
"9585"	"MT1M"	-3.72055282608696	4.42853295238095	-7.35734275409901	1.14950406369153e-10	5.15455306837184e-08	14.0366115764606
"9938"	"MYH11"	-3.68962960869565	6.3633388452381	-10.3829392594767	9.9021252205139e-17	5.38435077628509e-13	27.3889896907729
"13314"	"CEACAM7"	-3.67322243478261	4.35835342857143	-10.3583788066906	1.10838524231346e-16	5.38435077628509e-13	27.2816146027
"3554"	"SNORA12"	-3.66673791304348	6.4766326547619	-5.26975887470049	1.0380333387367e-06	5.24359752585069e-05	5.33510087394241
"19398"	"UGT2B17"	-3.63961491304348	3.60674333333333	-6.61084250139824	3.31357562683443e-09	7.30470457687874e-07	10.8183546922444
"5200"	"LOC105369504"	-3.63533973913044	3.88677925	-8.7443313132318	1.93052191599146e-13	2.25075689141613e-10	20.1553829901592
